Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2024-08-1,-1.2,13.8,0.2,,,SSE,43,08:33,4.5,88,,S,2,1035.6,13.4,58,,SE,11,1031.1
2024-08-2,-0.9,16.6,0,,,SE,17,06:50,4.8,85,,S,2,1032.2,14.8,52,, ,Calm,1028.7
2024-08-3,-1.5,16.4,0,,,SSE,24,07:46,4.6,90,,SE,4,1031.5,16.0,48,,NNW,6,1028.1
2024-08-4,-0.5,13.1,0,,,SSE,15,09:18,4.9,93,,ESE,7,1030.2,12.8,59,, ,Calm,1026.9
2024-08-5,4.8,12.4,0.2,,,SSE,15,03:36,7.0,95,,SW,2,1026.0,12.2,72,, ,Calm,1021.8
2024-08-6,3.7,14.8,0,,,SSW,15,13:15,6.2,100,, ,Calm,1025.6,13.5,59,,W,2,1023.5
2024-08-7,-1.3,15.3,0,,,SSW,20,12:56,2.7,100,,SSE,6,1028.6,14.6,61,,SSW,7,1026.2
2024-08-8,-1.5,18.3,0,,,W,24,14:29,6.0,91,,SE,6,1028.8,17.6,51,,NW,15,1024.7
2024-08-9,4.7,19.6,0.2,,,WSW,28,15:36,10.6,84,,N,2,1027.9,18.8,45,,NW,7,1024.9
2024-08-10,1.3,18.3,0,,,SSW,19,14:40,8.1,88,,SSE,9,1029.9,18.0,54,,SSE,9,1027.3
2024-08-11,1.4,19.0,0,,,SW,17,13:41,9.7,87,,SSE,9,1031.8,18.6,53,,SSW,9,1028.9
2024-08-12,3.0,20.7,0,,,NNE,33,12:32,11.1,79,,SE,11,1032.0,14.7,84,,NW,7,1029.9
2024-08-13,8.0,21.2,0.4,,,SE,13,00:32,13.2,86,,SE,7,1028.7,19.4,65,,WSW,4,1024.4
2024-08-14,11.6,18.5,7.2,,,NNE,15,14:29,13.2,99,,SE,7,1022.6,16.8,85,, ,Calm,1018.5
2024-08-15,8.2,20.5,0.6,,,S,17,12:53,10.6,100,,SE,9,1020.2,20.1,61,,S,9,1016.1
2024-08-16,6.7,19.7,0.2,,,WSW,69,15:42,12.4,96,, ,Calm,1016.0,18.4,67,,NNW,13,1011.1
2024-08-17,8.4,14.6,9.8,,,W,37,13:28,11.5,90,,WNW,13,1010.6,12.3,77,,WNW,19,1009.5
2024-08-18,7.4,14.6,3.4,,,W,15,12:47,10.6,98,, ,Calm,1017.1,14.2,70,,SSW,6,1017.4
2024-08-19,4.3,18.6,0,,,NW,28,14:48,10.0,97,, ,Calm,1025.2,17.8,63,,NNE,11,1022.0
2024-08-20,5.2,20.8,0,,,N,33,12:13,11.5,88,, ,Calm,1023.7,20.1,65,,N,19,1016.4
2024-08-21,10.9,18.5,0.2,,,WNW,33,11:21,14.7,88,,NNW,15,1017.9,16.3,66,,WNW,19,1017.8
2024-08-22,9.3,18.2,0,,,SW,28,14:36,12.4,91,,N,7,1021.3,17.2,56,,WSW,17,1020.4
2024-08-23,1.9,19.7,0,,,N,19,14:08,9.2,92,,SSE,7,1026.4,19.1,40,,NNW,7,1022.4
2024-08-24,7.9,22.8,2.0,,,NNW,44,09:51,16.0,69,,N,26,1018.4,22.4,52,,NNW,19,1015.8
2024-08-25,13.6,18.4,0.6,,,NNE,44,11:06,17.6,82,,N,13,1016.5,16.6,94,,NNW,13,1017.5
2024-08-26,7.1,17.1,10.2,,,WSW,54,00:19,12.9,78,,N,4,1020.5,16.2,69,,SW,20,1019.6
2024-08-27,2.1,18.5,0.2,,,NNW,26,14:33,7.2,100,, ,Calm,1023.7,18.2,61,,NNW,17,1017.9
2024-08-28,7.1,20.6,0,,,W,44,15:35,16.2,61,,NNW,22,1014.5,20.0,47,,WNW,24,1012.0
2024-08-29,6.3,18.1,0,,,WSW,31,01:27,12.2,65,,NNE,2,1018.0,17.1,50,,N,7,1014.1
2024-08-30,4.2,22.5,0,,,WNW,41,14:47,16.1,64,,NNW,19,1006.8,21.9,52,,NNW,24,1002.6
2024-08-31,8.3,18.5,0,,,WNW,39,14:45,14.0,63,,NNW,15,1012.3,17.6,47,,WNW,26,1011.4
