Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2024-03-1,21.9,36.6,0.6,NNW,41,16:04,25.0,72,,N,9,1015.4,34.0,42,NE,9,1011.8
2024-03-2,21.8,30.1,0,NNW,30,15:04,25.0,76,, ,Calm,1013.1,28.7,28,NNW,11,1013.1
2024-03-3,11.0,30.8,0,WSW,41,14:30,17.5,71,,ESE,2,1015.6,29.8,9,SW,24,1013.0
2024-03-4,9.1,31.1,0,E,31,20:23,16.6,55,,SE,11,1019.3,29.5,28,SSW,11,1017.0
2024-03-5,12.1,30.9,0,NW,24,12:57,18.6,70,,SE,9,1021.7,30.0,40,NW,6,1018.1
2024-03-6,14.2,34.2,0,NNW,33,11:43,21.2,69,, ,Calm,1019.7,31.9,41,N,11,1016.0
2024-03-7,17.0,35.2,0,NE,39,16:57,23.7,67,,ESE,7,1020.2,32.8,35,WSW,17,1017.2
2024-03-8,17.4,33.7,0,NE,26,20:33,23.7,63,,ESE,6,1023.2,32.4,31,WSW,9,1020.5
2024-03-9,16.8,33.6,0,SE,28,14:35,22.9,63,,SSE,6,1024.6,32.9,25,ENE,15,1021.4
2024-03-10,14.3,32.7,0,E,26,13:30,20.1,69,,S,7,1026.7,31.3,29,SE,15,1023.3
2024-03-11,14.6,32.6,0,ENE,22,09:04,21.4,66,,SE,9,1026.1,31.1,31,SSE,9,1021.1
2024-03-12,13.4,34.7,0,S,39,12:21,19.6,69,, ,Calm,1020.2,33.1,26,NNW,7,1015.6
2024-03-13,16.9,34.5,0,N,19,12:11,21.7,56,,ESE,11,1016.7,33.0,21,W,4,1012.5
2024-03-14,15.2,34.5,0,SW,39,17:16,21.6,66,,NNW,9,1012.7,33.7,25,SW,19,1009.2
2024-03-15,18.4,28.6,0,E,43,02:52,20.0,54,,ESE,17,1017.8,26.9,38,E,19,1015.5
2024-03-16,13.9,25.4,0,NNE,30,09:30,18.0,60,,SE,11,1020.9,23.4,47,NNW,15,1016.9
2024-03-17,15.7,24.6,21.6,E,19,13:56,17.0,93,,SSE,7,1015.5,23.6,63,ENE,11,1012.5
2024-03-18,16.2,29.1,0.2,SW,28,12:48,19.1,79,,SSE,9,1014.7,28.1,43,SSW,13,1011.7
2024-03-19,15.0,31.8,0,NNW,28,14:04,19.1,81,,SE,9,1016.2,30.5,40,NNE,7,1012.5
2024-03-20,18.0,22.6,4.4,WSW,48,04:56,18.6,84,,WSW,13,1017.9,21.2,47,WSW,20,1019.2
2024-03-21,10.3,24.9,0,E,31,09:09,14.9,52,,SE,17,1027.2,23.7,33,NE,11,1023.1
2024-03-22,8.9,26.9,0,SSE,22,15:44,14.1,78,,SE,7,1024.7,25.5,37,E,6,1020.8
2024-03-23,13.6,24.2,0,SW,30,08:29,17.3,72,,SE,11,1021.7,22.3,63,NNW,15,1020.5
2024-03-24,15.2,27.1,1.4,SW,33,15:30,17.1,98,, ,Calm,1020.9,25.6,43,WNW,11,1018.5
2024-03-25,6.1,28.0,0,SW,30,15:29,11.2,83,, ,Calm,1020.9,26.4,30,NNW,7,1017.8
2024-03-26,9.1,30.1,0,WSW,30,14:10,14.0,73,,SE,7,1020.9,29.2,18,SW,17,1018.0
2024-03-27,9.4,30.3,0,ESE,24,21:48,16.2,73,,SSE,9,1022.4,29.4,25,WNW,9,1019.6
2024-03-28,11.6,30.1,0,ENE,24,21:03,16.5,79,,SE,11,1024.1,28.7,30,ENE,9,1021.3
2024-03-29,13.5,30.2,0,S,26,14:16,17.8,78,,SE,7,1026.9,28.9,30,SSE,7,1023.0
2024-03-30,11.2,31.4,0,SSE,31,14:03,16.6,77,,SE,7,1026.1,30.7,27,ENE,6,1022.2
2024-03-31,12.5,31.2,0,WNW,17,11:05,17.4,69,,SSE,7,1022.9,30.5,26,SSW,6,1018.4
