Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2024-04-1,12.5,32.2,0,ESE,22,14:21,19.4,67,,E,4,1019.6,31.2,24,NNE,7,1015.7
2024-04-2,16.4,23.8,4.6,SW,43,10:30,18.2,97,,N,15,1012.2,23.4,44,WSW,22,1012.8
2024-04-3,8.0,24.4,0,SSW,24,14:54,13.1,87,, ,Calm,1020.4,22.4,41,S,15,1018.7
2024-04-4,11.4,23.7,0,ESE,31,13:23,16.5,79,,S,11,1022.4,22.8,54,ESE,17,1020.7
2024-04-5,15.1,18.2,24.2,SSE,30,04:43,15.6,95,,SSE,11,1023.5,17.0,91,SSE,15,1020.3
2024-04-6,13.4,23.0,51.6,N,35,14:29,15.7,99,, ,Calm,1015.9,22.2,69,NW,13,1012.9
2024-04-7,15.5,22.1,0.2,NNW,30,14:42,17.4,87,,NNW,11,1013.5,21.6,69,NW,17,1010.8
2024-04-8,14.0,23.6,0,NW,30,15:11,16.4,91,,NNW,13,1013.3,23.1,53,WNW,19,1010.0
2024-04-9,12.4,18.5,0,SW,56,14:03,15.9,75,,WSW,15,1012.3,18.0,55,WSW,33,1011.3
2024-04-10,4.2,19.6,7.0,SW,31,15:25,10.8,71,,SSW,11,1019.6,18.9,42,WSW,9,1017.3
2024-04-11,5.3,22.2,0,NW,17,13:50,11.9,80,,SE,7,1021.1,21.1,37,NNW,9,1018.8
2024-04-12,7.6,24.1,0,SSW,20,14:41,14.4,79,,S,7,1022.4,22.6,43,S,11,1018.4
2024-04-13,7.2,23.6,0,S,19,12:31,13.8,80,,SSE,6,1022.8,23.1,46,NW,7,1019.5
2024-04-14,6.5,24.8,0,NNW,19,15:14,13.0,75,,SSW,2,1024.0,23.7,27,NNW,9,1020.9
2024-04-15,4.9,25.3,0,SSW,20,16:18,12.9,73,,S,7,1024.9,24.7,26,SSW,2,1021.0
2024-04-16,5.2,24.9,0,W,15,13:22,12.9,71,,SE,9,1025.3,23.5,32,ENE,6,1021.1
2024-04-17,6.5,24.4,0,SSW,20,14:24,13.9,77,,SSE,7,1024.8,24.0,37,S,9,1020.1
2024-04-18,7.9,21.7,0,WSW,37,12:57,14.2,77,,NNE,7,1020.3,21.3,35,SW,19,1016.3
2024-04-19,5.6,18.4,0,SSW,15,10:17,11.2,79,, ,Calm,1018.9,17.9,55,NNW,4,1017.8
2024-04-20,8.4,21.6,0,ESE,39,10:32,14.8,69,,S,19,1025.7,20.1,48,ESE,17,1024.9
2024-04-21,7.0,23.2,0,SSE,24,07:56,14.3,69,,SSE,11,1029.3,22.8,38,SW,9,1025.4
2024-04-22,5.1,24.7,0,ESE,15,02:40,12.9,76,,S,7,1029.2,23.7,37,SW,6,1024.8
2024-04-23,6.2,24.7,0,N,30,14:29,14.7,74,,SE,6,1026.0,24.3,42,NW,11,1020.0
2024-04-24,9.7,21.3,0,WSW,37,11:28,17.9,57,,NNW,7,1018.9,20.0,29,SW,22,1018.4
2024-04-25,2.2,19.8,0,SW,33,16:21,8.9,72,,SSE,6,1022.7,19.1,33,SW,20,1020.0
2024-04-26,2.3,20.7,0,SSE,17,10:17,9.5,76,,SE,9,1024.6,20.3,33,SSE,4,1021.9
2024-04-27,3.7,23.5,0,SSE,17,09:44,12.4,76,,SSE,9,1027.5,22.1,40,NW,6,1023.9
2024-04-28,4.7,24.4,0,NW,19,14:46,14.1,75,, ,Calm,1027.4,23.1,45,NNW,11,1022.8
2024-04-29,7.3,24.6,0,WSW,41,18:38,15.7,66,,SSE,2,1024.5,23.0,49,WNW,11,1021.0
2024-04-30,11.8,21.8,3.6,ENE,28,17:31,14.6,91,,SSE,7,1025.2,20.9,56,S,9,1022.8
