Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2024-05-1,8.5,20.3,0,ESE,24,13:13,11.1,76,S,15,1030.2,19.2,50,,ESE,15,1027.4
2024-05-2,5.7,20.6,0,SE,30,10:02,14.1,71,SSE,11,1031.3,19.1,50,,ENE,9,1027.6
2024-05-3,7.8,20.8,0,E,35,09:25,15.3,68,SE,15,1029.2,19.4,53,,ESE,15,1024.2
2024-05-4,11.4,16.0,0,ESE,28,14:05,14.8,78,ESE,4,1024.1,13.7,91,,ESE,15,1021.7
2024-05-5,12.1,17.7,21.6,SE,31,12:43,13.8,92,S,13,1023.1,17.6,61,,ESE,13,1021.7
2024-05-6,9.9,19.9,0.2,SE,43,12:10,14.2,73,SSE,15,1027.8,18.6,54,,SE,15,1027.2
2024-05-7,6.6,21.3,0,ESE,28,13:07,13.8,79,ESE,9,1031.1,20.1,46,,ESE,11,1027.4
2024-05-8,9.8,20.5,0,ESE,30,14:27,14.7,78,SE,11,1031.8,19.8,54,,ESE,17,1027.5
2024-05-9,7.8,21.7,0,SSE,17,09:27,14.7,82,S,11,1031.1,20.2,56,,E,6,1028.2
2024-05-10,12.4,22.5,0,E,30,23:58,16.3,76,SSE,9,1029.5,22.0,48,,E,13,1025.1
2024-05-11,13.6,17.0,1.0,E,30,00:36,15.6,80,E,13,1025.2,16.4,78,,ESE,17,1021.7
2024-05-12,11.1,19.4,1.0,SSE,26,11:15,14.4,87,S,7,1022.4,16.6,81,,ESE,6,1019.7
2024-05-13,6.8,20.8,0.4,S,31,13:51,12.1,80,S,7,1023.7,20.5,53,,SW,19,1021.3
2024-05-14,4.7,19.7,0,WSW,28,13:56,12.0,82, ,Calm,1027.8,19.6,49,,SW,13,1025.8
2024-05-15,3.4,21.4,0,W,20,14:39,9.1,93,SSW,7,1030.2,21.0,41,,WNW,13,1027.0
2024-05-16,5.6,21.3,0,SW,19,18:08,11.0,85,SE,7,1029.7,20.6,54,, ,Calm,1026.4
2024-05-17,5.1,21.3,0,SW,30,15:22,10.0,94,SSE,4,1027.2,20.2,46,,S,2,1023.2
2024-05-18,7.0,15.3,0,SSE,41,11:32,10.2,54,SSE,19,1025.6,14.9,42,,SSE,17,1024.0
2024-05-19,-0.6,14.2,0,SW,28,12:52,5.3,82, ,Calm,1026.1,13.5,40,,WSW,13,1022.8
2024-05-20,2.9,15.6,0,ESE,17,07:34,7.5,78,SE,7,1025.6,15.4,50,,SW,6,1023.4
2024-05-21,2.2,18.6,0,SSE,24,11:03,9.2,80,SE,7,1028.9,18.1,42,,SSW,7,1025.5
2024-05-22,0.1,17.2,0,SW,28,15:22,6.3,89,SE,7,1028.6,16.8,47,,SW,7,1024.7
2024-05-23,-0.5,18.6,0,ESE,15,21:25,6.4,86, ,Calm,1029.2,17.8,39,,W,2,1025.9
2024-05-24,0.8,19.3,0,SSE,13,09:24,6.6,87,SE,7,1028.3,19.0,42,,N,2,1025.1
2024-05-25,3.6,17.1,0,SSE,22,05:49,7.7,97, ,Calm,1028.3,16.8,61,,SSE,6,1025.2
2024-05-26,1.7,20.0,0,SSE,13,09:23,5.9,100,SSE,7,1027.3,18.5,50,,SSW,6,1024.1
2024-05-27,0.3,18.5,0,SW,17,13:12,5.3,100,SE,9,1027.2,17.6,48,,SW,9,1025.1
2024-05-28,-0.7,20.4,0,ESE,15,08:51,5.1,89,ESE,9,1029.9,19.4,43,, ,Calm,1026.2
2024-05-29,0.8,22.1,0,NNW,20,14:30,7.8,85,SSE,7,1030.1,20.8,44,,NW,9,1026.0
2024-05-30,3.7,21.3,0,N,43,14:48,8.9,92, ,Calm,1026.9,20.1,56,,N,28,1020.9
2024-05-31,8.9,15.6,14.0,N,46,02:19,14.7,97,NNW,15,1017.9,13.0,92,,SW,9,1017.6
